career,field,recommended_major,related_majors,soc_code,bls_occupation,early_career_salary,median_salary,experienced_salary,average_salary,education,description,skills,companies,industries,colleges_notable,nyc_colleges,college_notes,source_year,benchmark_area,salary_area,data_type,salary_mapping_note,salary_source,source_url,job_outlook,career_level_note
Hydrologist,Environmental Science,Hydrology,Environmental Science;Environmental Engineering;Earth Science;Hydrology;Climate Science;Ecology,19-2043,Hydrologists,69240,88770,114710,121180,Bachelor's degree,"Studies the movement, distribution, and properties of surface water and groundwater.",Hydrology;GIS;Statistics;Field Research;Environmental Modeling;Data Analysis,AECOM;Jacobs;Arcadis;WSP;Tetra Tech;U.S. Environmental Protection Agency,Environmental Consulting;Water Resources;Climate;Infrastructure;Conservation;Public Sector,Stanford University;UC Berkeley;Cornell University;University of Michigan;Georgia Tech,Columbia University;NYU;CCNY;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes192043.htm,"Water agencies and environmental teams hire hydrologists to understand floods, groundwater, and water supply challenges.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Conservation Scientist,Environmental Science,Environmental Science,Environmental Science;Environmental Engineering;Earth Science;Hydrology;Climate Science;Ecology,19-1031,Conservation Scientists,53000,68750,87460,80180,Bachelor's degree,"Manages and protects natural resources, soil, water, forests, and ecosystems.",Ecology;GIS;Field Research;Environmental Science;Data Analysis;Resource Management,AECOM;Jacobs;Arcadis;WSP;Tetra Tech;U.S. Environmental Protection Agency,Environmental Consulting;Water Resources;Climate;Infrastructure;Conservation;Public Sector,Stanford University;UC Berkeley;Cornell University;University of Michigan;Georgia Tech,Columbia University;NYU;CCNY;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Exact BLS occupation,,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes191031.htm,"Land and natural-resource managers need conservation scientists to protect forests, soil, wildlife habitats, and ecosystems.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Environmental Consultant,Environmental Science,Environmental Science,Environmental Science;Environmental Engineering;Earth Science;Hydrology;Climate Science;Ecology,19-2041,"Environmental Scientists and Specialists, Including Health",60920,78980,103420,97130,Bachelor's degree,"Evaluates environmental risks, regulations, contamination, and sustainability issues for organizations.",Environmental Science;GIS;Regulations;Data Analysis;Technical Writing;Field Sampling,AECOM;Jacobs;Arcadis;WSP;Tetra Tech;U.S. Environmental Protection Agency,Environmental Consulting;Water Resources;Climate;Infrastructure;Conservation;Public Sector,Stanford University;UC Berkeley;Cornell University;University of Michigan;Georgia Tech,Columbia University;NYU;CCNY;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Environmental Consultant is benchmarked to Environmental Scientists and Specialists, Including Health.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes192041.htm,"Companies hire environmental consultants to evaluate regulations, contamination risks, and sustainability requirements.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Climate Data Analyst,Environmental Science,Environmental Science,Environmental Science;Environmental Engineering;Earth Science;Hydrology;Climate Science;Ecology,19-2041,"Environmental Scientists and Specialists, Including Health",60920,78980,103420,97130,Bachelor's degree,"Analyzes climate and environmental datasets to identify trends, risks, and changes over time.",Python;Statistics;Climate Science;GIS;Data Visualization;Data Analysis,AECOM;Jacobs;Arcadis;WSP;Tetra Tech;U.S. Environmental Protection Agency,Environmental Consulting;Water Resources;Climate;Infrastructure;Conservation;Public Sector,Stanford University;UC Berkeley;Cornell University;University of Michigan;Georgia Tech,Columbia University;NYU;CCNY;Fordham University,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Climate Data Analyst is benchmarked to Environmental Scientists and Specialists, Including Health.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes192041.htm,Demand grows as governments and organizations need analysts who can interpret climate and environmental data for planning.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Automation Engineer,Robotics,Mechatronics,Robotics Engineering;Mechanical Engineering;Computer Engineering;Electrical Engineering;Mechatronics,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,"Develops automated systems used in manufacturing, robotics, logistics, and other industries.",Automation;PLC Programming;Control Systems;Robotics;Python;Sensors,Boston Dynamics;Amazon Robotics;NVIDIA;Tesla;Anduril;ABB,Robotics;Automation;Autonomous Systems;Manufacturing;AI;Defense Technology,Carnegie Mellon University;MIT;Georgia Tech;University of Michigan;WPI,Columbia University;NYU Tandon;The Cooper Union;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Automation Engineer is benchmarked to Engineers, All Other.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,Manufacturers and logistics companies hire automation engineers to design systems that reduce manual work and raise productivity.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Structural Engineer,Civil Engineering,Civil Engineering,Civil Engineering;Structural Engineering;Architectural Engineering;Construction Engineering,17-2051,Civil Engineers,76500,95890,123010,117890,Bachelor's degree,"Designs buildings, bridges, and frameworks so they remain stable under everyday loads and extreme events.",Structural Analysis;CAD;Statics;Materials;Building Codes,AECOM;Arup;Thornton Tomasetti;Jacobs,Infrastructure;Architecture;Construction;Transportation,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Civil Engineers (17-2051); structural design work is commonly classified under this occupation.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172051.htm,Infrastructure owners keep hiring structural engineers to modernize buildings and bridges safely.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Transportation Engineer,Civil Engineering,Civil Engineering,Civil Engineering;Urban Planning;Environmental Engineering,17-2051,Civil Engineers,76500,95890,123010,117890,Bachelor's degree,"Plans roadway, transit, and traffic systems that move people and goods safely through cities and corridors.",Traffic Analysis;Transportation Planning;GIS;CAD;Data Analysis,AECOM;WSP;Jacobs;NYC DOT partners,Transportation;Infrastructure;Government;Consulting,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Civil Engineers (17-2051); transportation engineering roles are typically reported here.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172051.htm,Growing cities and aging transit networks sustain demand for transportation-focused civil engineers.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Geotechnical Engineer,Civil Engineering,Civil Engineering,Civil Engineering;Earth Science;Geology;Construction Engineering,17-2051,Civil Engineers,76500,95890,123010,117890,Bachelor's degree,"Evaluates soil and rock conditions to design foundations, tunnels, and earthworks that support safe construction.",Soil Mechanics;Foundation Design;Field Testing;CAD;Geology,AECOM;Jacobs;Langan;GZA,Construction;Infrastructure;Energy;Environmental Consulting,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Civil Engineers (17-2051); geotechnical specialists are commonly included in this group.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172051.htm,"Large buildings, tunnels, and coastal projects need geotechnical engineers before ground is disturbed.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Quality Engineer,Industrial Engineering,Industrial Engineering,Industrial Engineering;Mechanical Engineering;Systems Engineering,17-2112,Industrial Engineers,79730,99380,124000,108120,Bachelor's degree,"Builds inspection plans, statistical checks, and process controls that prevent defects before products ship.",Statistics;Process Control;Lean Six Sigma;Data Analysis;Auditing,Honeywell;GE;Lockheed Martin;Siemens,Manufacturing;Aerospace;Electronics;Medical Devices,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Industrial Engineers (17-2112); quality engineering work is commonly reported here.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172112.htm,Manufacturers need quality engineers to meet strict safety and reliability standards at scale.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Supply Chain Engineer,Industrial Engineering,Industrial Engineering,Industrial Engineering;Supply Chain Management;Operations Management;Operations Research,17-2112,Industrial Engineers,79730,99380,124000,108120,Bachelor's degree,"Designs material, inventory, and logistics flows so products move from suppliers to customers with less delay.",Optimization;Logistics;Inventory Planning;Python;Data Analysis,Amazon;UPS;Siemens;GE,Logistics;Manufacturing;Retail;Transportation,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Industrial Engineers (17-2112); supply-chain engineering roles often fall in this category.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172112.htm,Companies hire supply chain engineers to keep products moving while cutting cost and delay.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Process Improvement Engineer,Industrial Engineering,Industrial Engineering,Industrial Engineering;Operations Management;Systems Engineering,17-2112,Industrial Engineers,79730,99380,124000,108120,Bachelor's degree,"Maps workflows and production systems to remove bottlenecks, waste, and unnecessary handoffs.",Lean Methods;Process Mapping;Statistics;Simulation;Change Management,GE;Honeywell;Deloitte;Siemens,Manufacturing;Healthcare Operations;Logistics;Consulting,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Industrial Engineers (17-2112).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172112.htm,"Factories, hospitals, and service organizations rely on process improvement engineers to raise efficiency without losing quality.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Reliability Engineer,Systems Engineering,Systems Engineering,Systems Engineering;Industrial Engineering;Mechanical Engineering,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,Studies how products fail over time and designs improvements that increase uptime and safety.,Failure Analysis;Reliability Modeling;Statistics;Testing;Root Cause Analysis,RTX;GE;Lockheed Martin;NASA contractors,Aerospace;Energy;Manufacturing;Defense,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Engineers, All Other (17-2199); reliability roles are frequently classified here.","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,"Mission-critical industries need reliability engineers to keep aircraft, power systems, and equipment from failing unexpectedly.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Requirements Engineer,Systems Engineering,Systems Engineering,Systems Engineering;Computer Engineering;Software Engineering,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,"Turns stakeholder needs into clear technical requirements and traces them through design, testing, and delivery.",Requirements Analysis;Systems Thinking;Documentation;Verification;Communication,Lockheed Martin;Boeing;IBM;Northrop Grumman,Aerospace;Defense;Software Systems;Transportation,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Engineers, All Other (17-2199).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,Complex programs need requirements engineers so teams build the right system and can prove it meets every obligation.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Integration Engineer,Systems Engineering,Systems Engineering,Systems Engineering;Electrical Engineering;Computer Engineering,17-2199,"Engineers, All Other",83250,111970,146060,117880,Bachelor's degree,"Connects hardware, software, and subsystems so an entire product works together as one reliable system.",System Integration;Testing;Interface Design;Debugging;Project Coordination,Boeing;RTX;Siemens;NASA contractors,Aerospace;Defense;Industrial Automation;Telecommunications,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,"Closest BLS occupation is Engineers, All Other (17-2199).","U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172199.htm,"As products combine more subsystems, organizations need integration engineers to make those pieces operate together.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Metallurgist,Materials Science,Materials Science / Engineering,Materials Science / Engineering;Materials Science;Mechanical Engineering;Chemical Engineering,17-2131,Materials Engineers,80790,104100,133090,112890,Bachelor's degree,"Improves metals and alloys used in manufacturing, aerospace structures, energy systems, and infrastructure.",Metallurgy;Materials Testing;Microscopy;Heat Treatment;Failure Analysis,Alcoa;GE;Boeing;US Steel,Metals Manufacturing;Aerospace;Energy;Automotive,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Materials Engineers (17-2131).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172131.htm,Industries that depend on strong or heat-resistant metals continue to need metallurgy specialists.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Polymer Materials Engineer,Materials Science,Materials Science / Engineering,Materials Science / Engineering;Materials Science;Chemical Engineering;Chemistry,17-2131,Materials Engineers,80790,104100,133090,112890,Bachelor's degree,"Develops polymer materials for packaging, medical devices, electronics housings, and consumer products.",Polymer Science;Materials Characterization;Formulation;Lab Testing;Data Analysis,DuPont;3M;BASF;Johnson & Johnson,Chemicals;Medical Devices;Packaging;Consumer Products,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Materials Engineers (17-2131); polymer engineering roles are often benchmarked here.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172131.htm,"Demand for lighter, stronger, and more sustainable plastics keeps polymer materials engineers in product R&D.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Composite Materials Engineer,Materials Science,Materials Science / Engineering,Materials Science / Engineering;Aerospace Engineering;Mechanical Engineering,17-2131,Materials Engineers,80790,104100,133090,112890,Bachelor's degree,Designs fiber-reinforced composites that cut weight while preserving strength in aircraft and vehicles.,Composites;Structural Materials;Testing;Manufacturing Processes;CAD,Boeing;Spirit AeroSystems;GE;Lockheed Martin,Aerospace;Automotive;Wind Energy;Sports Equipment,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Materials Engineers (17-2131).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172131.htm,"Aircraft and clean-energy manufacturers need composite materials engineers for lighter, stronger structures.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Semiconductor Materials Engineer,Materials Science,Materials Science / Engineering,Materials Science / Engineering;Electrical Engineering;Materials Science;Physics,17-2131,Materials Engineers,80790,104100,133090,112890,Bachelor's degree,"Develops and tests semiconductor and electronic materials used in chips, sensors, and advanced devices.",Semiconductor Materials;Thin Films;Characterization;Cleanroom Practices;Data Analysis,Intel;TSMC partners;Applied Materials;IBM,Semiconductors;Electronics;Research;Manufacturing,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Materials Engineers (17-2131).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172131.htm,Chipmakers and equipment firms hire materials engineers who understand electronic materials at the device scale.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Propulsion Engineer,Aerospace Engineering,Aerospace Engineering,Aerospace Engineering;Mechanical Engineering;Engineering Physics,17-2011,Aerospace Engineers,101730,130720,166610,140630,Bachelor's degree,"Designs and tests engines and propulsion systems for aircraft, rockets, and other flight vehicles.",Thermodynamics;Fluid Mechanics;Propulsion;Testing;Simulation,Boeing;Lockheed Martin;SpaceX;GE Aerospace,Aerospace;Defense;Space Systems;Energy,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Aerospace Engineers (17-2011); propulsion roles are typically classified here.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172011.htm,"Aircraft and space programs need propulsion engineers to make engines more powerful, efficient, and reliable.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Flight Test Engineer,Aerospace Engineering,Aerospace Engineering,Aerospace Engineering;Systems Engineering;Mechanical Engineering,17-2011,Aerospace Engineers,101730,130720,166610,140630,Bachelor's degree,Plans and analyzes flight tests that prove an aircraft or spacecraft meets performance and safety requirements.,Flight Testing;Data Analysis;Systems Engineering;Instrumentation;Safety Analysis,Boeing;Lockheed Martin;NASA contractors;Northrop Grumman,Aerospace;Defense;Space Systems;Testing,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Aerospace Engineers (17-2011).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172011.htm,New aircraft and spacecraft still require flight test engineers to validate real-world performance before entry into service.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Avionics Systems Engineer,Aerospace Engineering,Aerospace Engineering,Aerospace Engineering;Electrical Engineering;Computer Engineering;Systems Engineering,17-2011,Aerospace Engineers,101730,130720,166610,140630,Bachelor's degree,"Integrates navigation, communication, and flight-control electronics into aircraft and spacecraft platforms.",Avionics;Systems Integration;Electronics;Testing;Requirements Analysis,Honeywell;Boeing;Lockheed Martin;Collins Aerospace,Aerospace;Defense;Avionics;Space Systems,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Aerospace Engineers (17-2011); avionics systems work is often reported under this occupation.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172011.htm,Modern aircraft depend on avionics systems engineers to keep flight electronics reliable and certifiable.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Water Treatment Engineer,Engineering,Environmental Engineering,Environmental Engineering;Civil Engineering;Environmental Science,17-2081,Environmental Engineers,78640,100090,125520,114850,Bachelor's degree,Designs treatment processes that make drinking water and wastewater safer for communities.,Water Treatment;Process Design;Chemistry;Regulations;CAD,Hazen and Sawyer;AECOM;CDM Smith;Jacobs,Water Utilities;Environmental Consulting;Government;Infrastructure,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Environmental Engineers (17-2081).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172081.htm,Utilities and cities hire water treatment engineers to upgrade aging plants and meet stricter water-quality rules.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Air Quality Engineer,Engineering,Environmental Engineering,Environmental Engineering;Climate Science;Chemistry;Public Health,17-2081,Environmental Engineers,78640,100090,125520,114850,Bachelor's degree,"Measures and controls air pollution from industrial, transportation, and urban sources.",Air Quality Modeling;Emissions Control;Chemistry;Regulations;Data Analysis,AECOM;Jacobs;TRC;government agencies,Environmental Consulting;Government;Energy;Manufacturing,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Environmental Engineers (17-2081).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172081.htm,Clean-air rules and industrial permitting keep demand steady for air quality engineering specialists.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Remediation Engineer,Engineering,Environmental Engineering,Environmental Engineering;Environmental Science;Geology;Earth Science,17-2081,Environmental Engineers,78640,100090,125520,114850,Bachelor's degree,"Designs cleanup plans for contaminated soil, groundwater, and industrial sites.",Site Remediation;Hydrogeology;Risk Assessment;Field Investigation;Regulations,AECOM;Jacobs;GZA;TRC,Environmental Consulting;Government;Real Estate Redevelopment;Energy,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Environmental Engineers (17-2081).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172081.htm,Brownfield redevelopment and contaminated-site cleanups create ongoing work for remediation engineers.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Reactor Engineer,Nuclear Engineering,Nuclear Engineering,Nuclear Engineering;Nuclear Science;Engineering Physics;Mechanical Engineering,17-2161,Nuclear Engineers,100500,125460,142700,138360,Bachelor's degree,"Analyzes reactor performance, fuel behavior, and plant systems that keep nuclear facilities operating safely.",Reactor Physics;Thermal Hydraulics;Nuclear Safety;Simulation;Systems Analysis,Westinghouse;GE Hitachi;Entergy;DOE contractors,Nuclear Power;Energy;Defense;Research,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Nuclear Engineers (17-2161).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172161.htm,Nuclear utilities and national labs need reactor engineers to operate and modernize existing plants safely.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Radiation Protection Engineer,Nuclear Engineering,Nuclear Engineering,Nuclear Engineering;Medical Physics;Health Science;Nuclear Science,17-2161,Nuclear Engineers,100500,125460,142700,138360,Bachelor's degree,"Designs shielding, monitoring, and procedures that protect workers and the public from ionizing radiation.",Radiation Protection;Dose Assessment;Health Physics;Regulations;Instrumentation,Entergy;DOE labs;hospital radiation programs;engineering firms,Nuclear Power;Healthcare;Government;Research,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Nuclear Engineers (17-2161); radiation-protection engineering roles are often benchmarked here.,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172161.htm,"Nuclear plants, research reactors, and some medical settings need radiation protection engineers to manage exposure risk.","Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
Nuclear Safety Analyst,Nuclear Engineering,Nuclear Engineering,Nuclear Engineering;Systems Engineering;Engineering Physics,17-2161,Nuclear Engineers,100500,125460,142700,138360,Bachelor's degree,Evaluates accident scenarios and safety systems so nuclear facilities meet regulatory and design requirements.,Safety Analysis;Probabilistic Risk Assessment;Nuclear Regulations;Simulation;Technical Writing,Westinghouse;DOE contractors;NRC-related support firms;utilities,Nuclear Power;Government;Consulting;Research,MIT;Georgia Tech;University of Michigan;Purdue University;Carnegie Mellon University,Columbia University;The Cooper Union;NYU Tandon;CCNY,Examples of notable programs to explore; not an official ranking. Verify current degree offerings and admissions details on each university's official website.,2023,United States,"New York-Newark-Jersey City, NY-NJ-PA",Mapped BLS benchmark,Closest BLS occupation is Nuclear Engineers (17-2161).,"U.S. Bureau of Labor Statistics OEWS, May 2023",https://www.bls.gov/oes/2023/may/oes172161.htm,Regulators and operators rely on nuclear safety analysts as plants seek license renewals and design updates.,"Salary benchmarks are occupational wage percentiles, not guaranteed pay by years of experience."
